Game_ID,Blue_Team,Red_Team,Blue_Score,Red_Score,Blue_Win_Probability,Red_Win_Probability,Actual_Winner,Blue_Players,Red_Players
71395,Gen.G eSports,Hanwha Life eSports,4.994636952877045,1.0000798003752607,0.83317313535578,0.16682686464422006,Gen.G eSports,5,5
71402,KT Rolster,T1,4.398218542337418,3.0332170389592648,0.5918396915673714,0.4081603084326286,KT Rolster,5,5
71403,T1,KT Rolster,1.7388490029891912,5.0,0.25803353098101467,0.7419664690189853,KT Rolster,5,5
71405,PSG Talon,DetonatioN FocusMe,4.997501909732819,1.002505219818987,0.8329159952358468,0.1670840047641532,PSG Talon,5,5
71406,PSG Talon,DetonatioN FocusMe,4.9740269780159,0.749058373681593,0.8691163371415701,0.13088366285842984,PSG Talon,5,5
71408,CTBC Flying Oyster,GAM Esports,4.992221713066101,0.9961532487432123,0.8336521585411484,0.16634784145885162,CTBC Flying Oyster,5,5
71409,GAM Esports,CTBC Flying Oyster,2.233612744603306,2.6068273596465588,0.4614482767057097,0.5385517232942902,CTBC Flying Oyster,5,5
71414,Team Secret Whales,MGN Vikings Esports,4.4645534455776215,2.022471624785794,0.6882281781173244,0.3117718218826756,Team Secret Whales,5,5
71415,MGN Vikings Esports,Team Secret Whales,4.936506450176239,1.9631591250254357,0.7154703943795054,0.2845296056204946,MGN Vikings Esports,5,5
71416,Team Secret Whales,MGN Vikings Esports,4.999991178512573,0.7687168783741072,0.8667436675953096,0.1332563324046904,Team Secret Whales,5,5
71420,Bilibili Gaming,Invictus Gaming,1.4114467996917526,4.479405730962753,0.23959975102872472,0.7604002489712752,Invictus Gaming,5,5
71421,Bilibili Gaming,Invictus Gaming,4.98358154296875,1.0380898116441712,0.8276076938591245,0.1723923061408755,Bilibili Gaming,5,5
71422,Invictus Gaming,Bilibili Gaming,1.9598380340612493,4.029252789914608,0.3272346490748676,0.6727653509251323,Invictus Gaming,5,5
71426,Anyone s Legend,Top Esports,1.0256819664019796,4.999284565448761,0.170238616427121,0.8297613835728791,Top Esports,5,5
71427,Anyone s Legend,Top Esports,1.120684335716931,4.99999463558197,0.18309804205906666,0.8169019579409335,Top Esports,5,5
71432,Funplus Phoenix,Anyone s Legend,0.931611872761873,5.0,0.15705880505092734,0.8429411949490727,Anyone s Legend,5,5
71433,Funplus Phoenix,Anyone s Legend,1.030968997409218,4.363326847553253,0.1911220717291583,0.8088779282708417,Anyone s Legend,5,5
71438,JD Gaming,Bilibili Gaming,0.9976623914128595,4.903849899768829,0.16905198908144486,0.8309480109185552,Bilibili Gaming,5,5
71439,JD Gaming,Bilibili Gaming,4.999137997627258,0.9898128969338984,0.8347268303981599,0.16527316960184016,JD Gaming,5,5
71440,Bilibili Gaming,JD Gaming,4.9999998807907104,1.0082559082597982,0.8321882516890756,0.16781174831092435,Bilibili Gaming,5,5
71441,Invictus Gaming,Funplus Phoenix,5.0,0.7770885827184377,0.8654878540303125,0.13451214596968752,Invictus Gaming,5,5
71442,Funplus Phoenix,Invictus Gaming,0.998714948399704,4.9947996735572815,0.16663260397179216,0.8333673960282078,Invictus Gaming,5,5
71450,Team WE,Top Esports,4.113865897059441,1.2367391953046651,0.7688599375293785,0.23114006247062155,Team WE,5,5
71451,Top Esports,Team WE,4.999665975570679,1.0009127431947036,0.8331972981098328,0.16680270189016722,Top Esports,5,5
71452,Team WE,Top Esports,1.9579166212201784,4.9999388456344604,0.28139656400555735,0.7186034359944427,Top Esports,5,5
71453,Weibo Gaming,Invictus Gaming,4.827310562133789,0.9971259878027467,0.8288030130891182,0.1711969869108818,Invictus Gaming,5,5
71454,Weibo Gaming,Invictus Gaming,4.999967336654663,0.859015857535784,0.8533848230888335,0.14661517691116654,Weibo Gaming,5,5
71455,Invictus Gaming,Weibo Gaming,4.999976754188538,0.012779773438623465,0.9974505497388135,0.0025494502611865134,Invictus Gaming,5,5
71459,Anyone s Legend,JD Gaming,4.9949764013290405,1.0088779437883204,0.8319616223520161,0.16803837764798393,Anyone s Legend,5,5
71460,JD Gaming,Anyone s Legend,1.507254170073793,4.999999403953552,0.2316267766311974,0.7683732233688025,Anyone s Legend,5,5
71514,SK Gaming,G2 Esports,0.915121815940596,4.986351847648621,0.15506666099125285,0.8449333390087471,G2 Esports,5,5
71515,G2 Esports,SK Gaming,2.528985469136387,1.7533070957288146,0.5905681199565576,0.4094318800434424,G2 Esports,5,5
71520,Team Vitality,Movistar KOI,1.7290637712865191,4.9917232394218445,0.2572710262252869,0.742728973774713,Movistar KOI,5,5
71521,Movistar KOI,Team Vitality,4.999988317489624,1.0034013377035222,0.8328608677206977,0.1671391322793023,Movistar KOI,5,5
71636,GAM Esports,Team Secret Whales,4.9999998807907104,0.1428708771157682,0.9722196252168844,0.02778037478311569,GAM Esports,5,5
71637,GAM Esports,Team Secret Whales,2.2178029771894217,4.8948840498924255,0.31180944258408194,0.6881905574159181,GAM Esports,5,5
71667,T1,Hanwha Life eSports,5.0,0.016477341767021647,0.9967153560866642,0.0032846439133357294,T1,5,5
71668,Hanwha Life eSports,T1,3.316348649095744,4.339433133602142,0.4331822331444598,0.5668177668555402,Hanwha Life eSports,5,5
