Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost,Win,Game_ID,Blue_Team,Red_Team,Winning_Team
Creme,MID,16,2,1,11,13,259,2,,8.1,11776,370,21%,50.05,16,7,5,,1.57,0.5,0.16,0.22,16.2%,32525.3,1157.89,31183.9,183.51,1021,29.2%,0.41,76.5%,,,,,,1182,,,,,,,,,,,,,15208,,,,,,0,72497,Anyone s Legend,Top Esports,Anyone s Legend
JackeyLove,ADC,15,4,3,6,3.3,286,0,,9,12115,380,21.6%,73.68,14,22,5,,2.31,0.44,0.16,0.69,23.8%,27014.45,18916.1,4157.01,3941.34,848,24.3%,0.31,58.8%,,,,,,-213,,,,,,,,,,,,,18520.9,,,,,,0,72497,Anyone s Legend,Top Esports,Anyone s Legend
Hang,SUPPORT,9,1,4,9,2.5,27,0,,0.8,7455,234,13.3%,126.43,71,12,25,,3.97,2.23,0.78,0.38,40.8%,8827.62,2004.22,3733.82,3089.58,277,7.9%,0.31,58.8%,,,,,,320,,,,,,,,,,,,,18949.7,,,,,,0,72497,Anyone s Legend,Top Esports,Anyone s Legend
369,TOP,18,2,2,7,4.5,328,8,,8.7,16789,447,23.4%,40.25,14,10,5,,1.07,0.37,0.13,0.27,11.1%,31793.62,24444.4,6935.94,413.28,847,34.6%,0.24,81.8%,,,,,,731,,,,,,,,,,,,,23839.8,,,,,,1,72498,Top Esports,Anyone s Legend,Top Esports
Kanavi,JUNGLE,17,2,3,7,3,256,234,,6.8,13629,363,19%,61.63,16,14,9,,1.64,0.43,0.24,0.37,17%,10421.59,8605.84,1643.75,172,278,11.3%,0.24,81.8%,,,,,,-699,,,,,,,,,,,,,44931.9,,,,,,1,72498,Top Esports,Anyone s Legend,Top Esports
Creme,MID,18,3,4,4,1.8,275,4,,7.3,13991,373,19.5%,37.85,23,3,12,,1.01,0.61,0.32,0.08,10.5%,20873,1408.5,19306.5,158,556,22.7%,0.19,63.6%,,,,,,-850,,,,,,,,,,,,,21628.5,,,,,,1,72498,Top Esports,Anyone s Legend,Top Esports
JackeyLove,ADC,17,4,1,6,10,374,29,,10,17945,478,25.1%,43.64,12,15,5,,1.16,0.32,0.13,0.4,12.1%,24613.7,24613.7,0,0,655,26.8%,0.27,90.9%,,,,,,-789,,,,,,,,,,,,,19490.3,,,,,,1,72498,Top Esports,Anyone s Legend,Top Esports
Hang,SUPPORT,13,0,3,11,3.7,46,0,,1.2,9277,247,13%,178.37,80,26,20,,4.75,2.13,0.53,0.69,49.3%,4154.69,994.88,2879.81,280,111,4.5%,0.29,100%,,,,,,-665,,,,,,,,,,,,,23942.1,,,,,,1,72498,Top Esports,Anyone s Legend,Top Esports
Flandre,TOP,17,0,3,6,2,243,0,,6.5,11536,307,17%,52.46,16,15,10,,1.4,0.43,0.27,0.4,16.6%,9171.27,7888.93,1001.39,280.95,244,9.4%,0.16,46.2%,,,,,,-731,,,,,,,,,,,,,36938.6,,,,,,0,72498,Top Esports,Anyone s Legend,Top Esports
Tarzan,JUNGLE,17,4,2,6,5,265,236,,7.1,14712,392,21.7%,42.88,11,7,9,,1.14,0.29,0.24,0.19,13.6%,25297.37,22371.9,848.67,2076.8,674,25.9%,0.27,76.9%,,,,,,699,,,,,,,,,,,,,40789.5,,,,,,0,72498,Top Esports,Anyone s Legend,Top Esports
Shanks,MID,18,5,1,4,9,308,0,,8.2,15308,408,22.6%,37.17,9,8,5,,0.99,0.24,0.13,0.21,11.8%,21888.4,572.21,20089.6,1226.59,583,22.4%,0.24,69.2%,,,,,,850,,,,,,,,,,,,,22672.7,,,,,,0,72498,Top Esports,Anyone s Legend,Top Esports
Hope,ADC,17,4,2,7,5.5,373,4,,9.9,17596,469,25.9%,54.64,17,21,5,,1.46,0.45,0.13,0.56,17.3%,34553.17,33007.8,874.89,670.48,920,35.3%,0.29,84.6%,,,,,,789,,,,,,,,,,,,,17506.3,,,,,,0,72498,Top Esports,Anyone s Legend,Top Esports
Kael,SUPPORT,15,0,3,10,3.3,41,0,,1.1,8708,232,12.8%,128.02,68,15,22,,3.41,1.81,0.59,0.4,40.6%,6858.73,1027.33,5445.12,386.28,183,7%,0.27,76.9%,,,,,,665,,,,,,,,,,,,,12817.8,,,,,,0,72498,Top Esports,Anyone s Legend,Top Esports
Flandre,TOP,17,3,5,6,1.8,301,21,,7.6,14225,360,19.7%,48.51,13,13,10,,1.23,0.33,0.25,0.33,12.8%,19068.53,13321.3,5747.23,0,482,16.1%,0.23,42.9%,,,,,,-407,,,,,,,,,,,,,49145.2,,,,,,0,72499,Anyone s Legend,Top Esports,Top Esports
Tarzan,JUNGLE,17,4,3,11,5,273,247,,6.9,15334,388,21.2%,75.07,13,19,13,,1.9,0.33,0.33,0.48,19.8%,29315.59,26656.9,992.32,1666.37,742,24.8%,0.38,71.4%,,,,,,-528,,,,,,,,,,,,,62426.3,,,,,,0,72499,Anyone s Legend,Top Esports,Top Esports
Shanks,MID,18,7,3,10,5.7,299,21,,7.6,16811,425,23.3%,36.32,17,4,6,,0.92,0.43,0.15,0.1,9.6%,26991.95,1387.55,25229.4,375,683,22.8%,0.43,81%,,,,,,-77,,,,,,,,,,,,,23928,,,,,,0,72499,Anyone s Legend,Top Esports,Top Esports
Hope,ADC,17,6,4,11,4.3,305,4,,7.7,16510,418,22.9%,42.71,21,9,7,,1.08,0.53,0.18,0.23,11.3%,33583.2,1057,32184.2,342,849,28.4%,0.43,81%,,,,,,500,,,,,,,,,,,,,20628.1,,,,,,0,72499,Anyone s Legend,Top Esports,Top Esports
Kael,SUPPORT,13,1,7,15,2.3,43,0,,1.1,9349,236,12.9%,175.87,92,19,30,,4.45,2.33,0.76,0.48,46.5%,9207.07,1342.65,4731.83,3132.59,233,7.8%,0.4,76.2%,,,,,,171,,,,,,,,,,,,,20231.6,,,,,,0,72499,Anyone s Legend,Top Esports,Top Esports
369,TOP,18,1,4,14,3.8,268,30,,6.8,12872,326,17.6%,49.77,17,12,5,,1.26,0.43,0.13,0.3,13.2%,40467.68,34987.2,4976.24,504.24,1024,31.3%,0.38,68.2%,,,,,,407,,,,,,,,,,,,,24616.9,,,,,,1,72499,Anyone s Legend,Top Esports,Top Esports
Kanavi,JUNGLE,16,4,5,16,4,223,197,,5.6,14177,359,19.4%,75.96,12,20,11,,1.92,0.3,0.28,0.51,20.1%,16720.62,13329.4,1536.33,1854.89,423,12.9%,0.51,90.9%,,,,,,528,,,,,,,,,,,,,40794.4,,,,,,1,72499,Anyone s Legend,Top Esports,Top Esports
Creme,MID,18,4,2,11,7.5,311,12,,7.9,16450,416,22.5%,38.25,10,7,4,,0.97,0.25,0.1,0.18,10.1%,31980.05,2779.62,28453.2,747.23,809,24.7%,0.38,68.2%,,,,,,77,,,,,,,,,,,,,40736.1,,,,,,1,72499,Anyone s Legend,Top Esports,Top Esports
JackeyLove,ADC,18,12,4,6,4.5,373,8,,9.4,20071,508,27.4%,61,14,19,5,,1.54,0.35,0.13,0.48,16.2%,33931.56,29091.1,3118,1722.46,858,26.2%,0.46,81.8%,,,,,,-500,,,,,,,,,,,,,19856,,,,,,1,72499,Anyone s Legend,Top Esports,Top Esports
Hang,SUPPORT,13,1,6,17,3,36,4,,0.9,9692,245,13.2%,152.6,93,12,28,,3.86,2.35,0.71,0.3,40.4%,6356.57,609.47,3919.19,1827.91,161,4.9%,0.46,81.8%,,,,,,-171,,,,,,,,,,,,,24122.4,,,,,,1,72499,Anyone s Legend,Top Esports,Top Esports
JNX,TOP,17,0,2,7,3.5,275,16,,8.6,12149,379,19.1%,19,11,3,3,3,0.59,0.34,0.09,0.09,7.1%,14397,9516,3059,1822,449,18.8%,0.22,58.3%,,0,0,0,0,-557,1,-520,-1,0,4432,4432,6950,0,24190,0,16,233,21611,74,4,23,0,0,1,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
Lurox,JUNGLE,16,0,2,8,4,196,168,,6.1,10929,341,17.2%,58,11,15,11,8,1.81,0.34,0.34,0.47,21.6%,6961,4305,2272,384,217,9.1%,0.25,66.7%,,0,0,0,0,-72,0,-108,-1,0,325,325,18961,478,34791,0,15,380,38318,40,12,30,0,2,1,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
Vetheo,MID,17,4,3,1,1.7,303,4,,9.5,15885,496,25%,51,13,12,3,3,1.59,0.41,0.09,0.37,19%,24618,604,23438,576,769,32.2%,0.16,41.7%,,0,0,0,0,269,7,93,0,0,11210,11210,1626,0,8796,0,9,166,16106,77,5,24,1008,0,1,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
Jopa,ADC,17,6,4,6,3,299,21,,9.3,15445,482,24.3%,35,14,8,6,4,1.09,0.44,0.19,0.25,13.1%,24047,15067,7658,1322,751,31.4%,0.37,100%,1,1,0,0,0,574,-17,-68,0,0,4587,4587,4665,0,9639,0,11,387,17066,93,8,30,0,256,1,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
Dekap,SUPPORT,13,2,4,9,2.8,27,0,,0.8,9127,285,14.4%,105,56,7,13,13,3.28,1.75,0.41,0.22,39.2%,6472,1372,4612,488,202,8.5%,0.34,91.7%,,0,0,0,0,-249,-9,-890,-1,0,1168,1168,1832,478,16877,2961,28,61,13830,96,15,28,0,0,1,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
APP,TOP,16,7,3,2,3,245,4,,7.6,11969,374,21.1%,27,9,5,4,4,0.84,0.28,0.12,0.16,9.9%,24550,352,24198,0,766,33.1%,0.28,60%,,0,0,0,0,557,-1,520,1,0,653,653,5140,0,24700,0,13,313,24666,98,6,25,0,557,0,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
Xeonerr,JUNGLE,15,1,2,7,4,218,205,,6.8,10737,335,18.9%,58,16,11,15,14,1.81,0.5,0.47,0.34,21.2%,6259,6018,0,241,195,8.4%,0.25,53.3%,,0,0,0,0,72,0,108,1,0,0,0,19834,0,38193,0,22,389,33394,98,16,36,0,356,0,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
Alix,MID,17,2,1,4,6,275,2,,8.6,11842,370,20.8%,34,11,7,6,6,1.06,0.34,0.19,0.22,12.5%,14264,451,12770,1043,445,19.2%,0.19,40%,1,0,0,0,0,-269,-7,-93,0,0,722,722,4711,0,12083,0,2,101,21367,53,7,22,0,0,0,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
Yakkey,ADC,16,4,3,7,3.7,303,8,,9.5,14208,444,25%,32,13,7,3,2,1,0.41,0.09,0.22,11.7%,22735,16506,3870,2359,710,30.6%,0.34,73.3%,,0,0,0,0,-574,17,68,0,0,2137,2137,3313,0,7095,0,0,48,13446,24,5,28,258,0,0,72501,Vitality.Bee,Crvena zvezda Esports,Vitality.Bee
